State,State Code,alpha code,total gyms,per 100K residents (%),prevalance of inactivity,meets cdc requirement (%),adolescents physically active (%),Obesity,Latitude,Longitude,Restaurants Per Capita,Number of Fast Food Restaurants ,Population (2019),Bicycle,Carpool,Drove alone,Public transportation,"Taxi, motorcycle, or other",Walked,Worked at home
New Mexico,35.0,NM,142.0,6.8,22.3,25.7,26.8,32.3,34.1662325,-106.0260685,4.3,1445,2096829,0.67,9.35,80.73,1.05,1.12,2.00,5.08
New York,36.0,NY,2759.0,13.9,26.6,24.1,19.2,27.6,40.7056258,-73.97968,2.1,17178,19453561,0.73,6.27,52.77,27.72,1.53,6.19,4.80
North Carolina,37.0,NC,260.0,19.8,24.7,21.6,19.9,33.0,35.2145629,-79.8912675,4.5,7824,10488084,0.16,8.74,80.17,1.13,1.32,1.78,6.71
North Dakota,38.0,ND,91.0,12.0,24.6,20.1,25.2,35.1,47.4678819,-100.3022655,3.6,497,762062,0.25,8.49,82.55,0.71,1.24,3.16,3.60
Ohio,39.0,OH,1322.0,11.3,27.0,20.9,23.5,34.0,40.1903624,-82.6692525,4.7,9807,11689100,0.26,8.01,82.38,1.50,0.98,2.28,4.59
Oklahoma,40.0,OK,283.0,7.2,30.2,15.6,29.2,34.8,35.3097654,-98.7165585,5.3,2802,3956971,0.24,9.48,82.65,0.43,1.33,1.46,4.42
Oregon,41.0,OR,530.0,12.6,19.2,24.9,,29.9,44.1419049,-120.5380993,3.6,3185,4217737,1.95,9.47,71.53,4.67,1.32,3.78,7.29
Pennsylvania,42.0,PA,1568.0,12.2,24.8,21.8,25.4,30.9,40.99459279999999,-77.6046984,3.2,9772,12801989,0.45,8.42,75.20,5.72,1.17,3.65,5.40
Rhode Island,44.0,RI,219.0,20.6,25.9,24.1,21.1,27.7,41.5827282,-71.5064508,2.5,906,1059361,0.27,8.18,79.60,3.07,1.09,3.28,4.51
South Carolina,45.0,SC,509.0,10.0,27.2,23.0,19.5,34.3,33.62505,-80.9470381,4.9,3800,5148714,0.23,8.64,82.05,0.59,1.32,2.05,5.12
South Dakota,46.0,SD,133.0,15.2,22.3,21.8,29.7,30.1,44.2126995,-100.2471641,4.3,614,884659,0.38,8.96,79.75,0.35,1.22,3.22,6.11
Tennessee,47.0,TN,655.0,9.7,30.0,21.8,21.6,34.4,35.83052100000001,-85.97859890000002,5.2,5329,6833174,0.12,8.90,82.01,0.62,1.31,1.41,5.64
Texas,48.0,TX,1576.0,5.5,27.9,24.3,22.9,34.8,31.1693363,-100.0768425,4.3,20219,28995881,0.23,9.70,80.14,1.33,1.34,1.54,5.71
Utah,49.0,UT,219.0,6.9,18.6,24.9,21.0,27.7,39.4997605,-111.547028,3.6,2534,3205958,0.54,10.36,76.12,2.47,1.03,2.05,7.43
Vermont,50.0,VT,146.0,23.4,20.5,28.5,22.1,27.5,43.8717545,-72.4477828,1.9,380,623989,0.50,8.55,76.19,1.64,0.77,5.31,7.04
Virginia,51.0,VA,1140.0,13.4,24.0,22.7,22.0,30.3,38.0033855,-79.4587861,4.3,6757,8535519,0.35,8.99,76.63,4.35,1.60,2.32,5.76
Washington,53.0,WA,1002.0,34.2,18.3,25.9,,28.7,38.8993487,-77.0145665,3.1,4844,7614893,0.87,9.95,70.92,7.11,1.15,3.48,6.51
West Virginia,54.0,WV,137.0,7.6,29.8,17.1,26.3,39.5,38.92017050000001,-80.1816905,5.3,1408,1792147,0.13,9.04,81.99,0.79,1.24,2.90,3.92
Wisconsin,55.0,WI,872.0,15.0,21.4,24.7,21.5,32.0,44.7862968,-89.82670490000002,4.0,3650,5822434,0.62,7.99,80.76,1.69,0.89,2.96,5.10
Wyoming,56.0,WY,55.0,9.6,24.1,24.5,,29.0,43.000325,-107.5545669,4.1,368,578759,1.04,11.51,76.91,1.16,0.69,2.95,5.73
